Title,Address,Latitude,Longitude,Found Address,Match Quality,Source
"Analisi del traffico acqueo delle merci nel centro storico di Venezia, in vista di un nuovo piano urbano della mobilità sostenibile.","Venezia",45.496.333,12.244.184,"San Marco",Exact,US Census
Stato della pianificazione dell'accessibilità nella regione Veneto,"Veneto",45.435101,12.326998,"Napoli",Exact,US Census
Accessibilità urbana della ciclovia Vento (Venezia-Torino),"Emilia Romagna",44.508642,11.363518,"Roma",Exact,US Census
Analisi dell'integrazione metropoliatana dei piani e progetti di trasformazione nella città metropolitana di Napoli,"Napoli",40.840421,14.250438,"Roma",Exact,US Census
Analisi degli impatti sul territorio della mobilità turistica,"Girona",41.981396,2.821585,"Roma",Exact,US Census
Studio delle dinamiche contemporanee della pianificazione della mobilità,"Venezia",45.441760,12.329834,"Roma",Exact,US Census
Pianificazione dell'accessibilità urbana del quartiere Hoge Vucht,"Breda",51.598250,4.773946,"Roma",Exact,US Census
"Ciclabilità urbana - workshop ROMACICLABILE – Sulla strada olandese","Roma",41.893455,12.482802,"Roma",Exact,US Census
"Conferenza de menselijk stad - organizzazione workshop Living the Movement. Stazioni: da spazi di transito a luoghi di condivisione","Amsterdam",52.384424,4.900924,"Roma",Exact,US Census
"Urbanpromo: workshop Smart city: nuove esigenze e nuove tecnologie produttrici di valore","Venezia",52.384424,4.900924,"Roma",Exact,US Census
